REF_DATE,POWER,Trend,Seasonal,Residual
1985-12-01,44490674.0,37650049.625,1.1120136790436534,1.0626574773580633
1986-01-01,45453955.0,37680567.458333336,1.1500864088759617,1.0488750913534668
1986-02-01,41349214.0,37684683.833333336,1.0405167960449022,1.0545162766978318
1986-03-01,40523560.0,37728681.04166667,1.0794008712993697,0.9950690168199939
1986-04-01,35552023.0,37822223.45833333,0.9757493991878087,0.963338615844837
1986-05-01,34726911.0,37916288.95833332,0.9561697127631082,0.9578672982520889
1986-06-01,32724594.0,37972620.79166667,0.9091379497536417,0.9479248492246263
1986-07-01,33610315.0,38048450.16666667,0.9246251560228697,0.9553662752407124
1986-08-01,34551047.0,38199242.66666666,0.939372975423802,0.9628716451081745
1986-09-01,34107474.0,38436705.708333336,0.9049564213839847,0.9805635200814479
1986-10-01,37355258.0,38712623.45833332,0.9834610216746326,0.9811648584623692
1986-11-01,41077855.0,38926208.45833332,1.0245096085262666,1.0300293923068833
1986-12-01,44787813.0,39157248.125,1.1120136790436534,1.0285787875661092
1987-01-01,46976721.0,39447920.833333336,1.1500864088759617,1.03544756311049
1987-02-01,43445468.0,39698334.12499999,1.0405167960449022,1.0517756259441593
1987-03-01,44126419.0,39832104.125000015,1.0794008712993697,1.0263197152657781
1987-04-01,38571190.0,39936185.87499999,0.9757493991878087,0.9898244115509974
1987-05-01,36833784.0,40046838.04166667,0.9561697127631082,0.9619292317010157
1987-06-01,36162673.0,40129907.41666667,0.9091379497536417,0.9912029360799686
1987-07-01,37148381.0,40257758.208333336,0.9246251560228697,0.9979863447869735
1987-08-01,37022900.0,40443699.91666667,0.939372975423802,0.9744992129783292
1987-09-01,34846101.0,40608543.91666666,0.9049564213839847,0.9482199918902254
1987-10-01,39114593.0,40685977.708333336,0.9834610216746326,0.9775453337395865
1987-11-01,41974172.0,40695777.79166667,1.0245096085262666,1.0067386653551973
1987-12-01,45885161.0,40671918.958333336,1.1120136790436534,1.0145360105839485
1988-01-01,48947792.0,40646301.875,1.1500864088759617,1.0470841759459744
1988-02-01,45936998.0,40678056.20833332,1.0405167960449022,1.085308797476627
1988-03-01,45591145.0,40731867.20833332,1.0794008712993697,1.036963370942075
1988-04-01,38964875.0,40756134.125,0.9757493991878087,0.9798103258661326
1988-05-01,36675301.0,40726843.29166666,0.9561697127631082,0.9417984129608996
1988-06-01,35748544.0,40720409.333333336,0.9091379497536417,0.9656426438351574
1988-07-01,36947700.0,40713707.04166668,0.9246251560228697,0.9814791008244117
1988-08-01,37985685.0,40629152.625,0.939372975423802,0.9952773848355039
1988-09-01,35174780.0,40551343.458333336,0.9049564213839847,0.9585140361110612
1988-10-01,39368320.0,40504483.083333336,0.9834610216746326,0.988295086534249
1988-11-01,41017465.0,40473921.0,1.0245096085262666,0.9891849511874116
1988-12-01,46687453.0,40426809.375,1.1120136790436534,1.0385336807003815
1989-01-01,47984645.0,40389579.75,1.1500864088759617,1.0330051354028613
1989-02-01,44870839.0,40321055.70833334,1.0405167960449022,1.0695059390232688
1989-03-01,44789884.0,40227371.45833334,1.0794008712993697,1.0315149284253682
1989-04-01,38641487.0,40104104.20833333,0.9757493991878087,0.9874763837290752
1989-05-01,36265199.0,40010362.791666664,0.9561697127631082,0.947943804637623
1989-06-01,35027967.0,40093416.37499999,0.9091379497536417,0.9609749810011144
1989-07-01,36774766.0,40096847.791666664,0.9246251560228697,0.9919139109746441
1989-08-01,36514042.0,39874436.625,0.939372975423802,0.9748264149049861
1989-09-01,34398001.0,39600624.583333336,0.9049564213839847,0.9598502957493588
1989-10-01,37186685.0,39388200.583333336,0.9834610216746326,0.9599843923935265
1989-11-01,40949306.0,39258631.45833334,1.0245096085262666,1.0181115252722763
1989-12-01,48748898.0,39134321.87500001,1.1120136790436534,1.1202033325421925
1990-01-01,46005554.0,39010598.54166667,1.1500864088759617,1.025409129760646
1990-02-01,41512062.0,38944834.833333336,1.0405167960449022,1.0244136224820188
1990-03-01,41577172.0,38929291.37499999,1.0794008712993697,0.9894541706525293
1990-04-01,36756023.0,38979655.45833334,0.9757493991878087,0.9663895520624836
1990-05-01,35041004.0,39029162.708333336,0.9561697127631082,0.938971311948545
1990-06-01,33268732.0,38933293.33333334,0.9091379497536417,0.9399079434406883
1990-07-01,35564641.0,39001739.583333336,0.9246251560228697,0.9862085105773446
1990-08-01,36145838.0,39192091.416666664,0.939372975423802,0.981797216390016
1990-09-01,34393162.0,39330982.25,0.9049564213839847,0.9662948094656431
1990-10-01,38400262.0,39522090.125,0.9834610216746326,0.9879549271421189
1990-11-01,40923903.0,39688102.95833333,1.0245096085262666,1.0064696193372085
1990-12-01,46473436.0,39848688.91666667,1.1120136790436534,1.0487708708095484
1991-01-01,49923726.0,39976596.5,1.1500864088759617,1.085852168645337
1991-02-01,42162334.0,40123843.95833334,1.0405167960449022,1.0098875461415846
1991-03-01,44260280.0,40313621.16666668,1.0794008712993697,1.0171373035819404
1991-04-01,38659504.0,40492094.125,0.9757493991878087,0.9784705245445928
1991-05-01,37121831.0,40649298.66666667,0.9561697127631082,0.9550835152638615
1991-06-01,35041968.0,40772527.04166667,0.9091379497536417,0.9453466130014809
1991-07-01,36861187.0,40830584.91666667,0.9246251560228697,0.9763780552277155
1991-08-01,38383231.0,41004805.625000015,0.939372975423802,0.9964802837945586
1991-09-01,36710422.0,41217970.041666664,0.9049564213839847,0.9841813060702852
1991-10-01,40366353.0,41322503.58333335,0.9834610216746326,0.9932892514141268
1991-11-01,42730721.0,41401289.20833334,1.0245096085262666,1.007419423394273
1991-12-01,47624099.0,41433989.04166667,1.1120136790436534,1.0336176004857243
1992-01-01,50166452.0,41436352.958333336,1.1500864088759617,1.0526921680940136
1992-02-01,46100905.0,41414140.625,1.0405167960449022,1.069822437605021
1992-03-01,45437655.0,41411169.083333336,1.0794008712993697,1.01651935943108
1992-04-01,39990934.0,41479600.75,0.9757493991878087,0.988072215687864
1992-05-01,37681256.0,41606106.24999999,0.9561697127631082,0.9471817323468538
1992-06-01,35267339.0,41735002.958333336,0.9091379497536417,0.9294851531172937
